697,Oberasbach,49.4219,10.9583
698,Kleinsachsenheim,48.96,9.0647
699,Radeberg,51.1167,13.9167
700,Alzey,49.7517,8.1161
701,Moosburg,48.4667,11.9333
702,Alfeld,51.9886,9.8269
703,Crimmitschau,50.8181,12.3875
704,Burscheid,51.1,7.1167
705,Renningen,48.7661,8.9347
706,Alzenau in Unterfranken,50.0881,9.0497
707,Konz,49.7028,6.5794
708,Schneverdingen,53.1167,9.8
709,Marktoberdorf,47.7667,10.6167
710,Wassenberg,51.1,6.15
711,Bad Reichenhall,47.7247,12.8769
712,Auerbach,50.5094,12.4
713,Vlotho,52.1667,8.8497
714,Bad Dürkheim,49.4618,8.1724
715,Hochheim am Main,50.0108,8.3508
716,Weißenburg,49.0306,10.9719
717,Bremervörde,53.4833,9.1333
718,Hochelheim,50.5167,8.7
719,Lahnstein,50.3011,7.6056
720,Großenhain,51.2833,13.55
721,Garching bei München,48.25,11.65
722,Schwalmstadt,50.9128,9.1889
723,Forst,51.7333,14.6333
724,Schkeuditz,51.4,12.2167
725,Hessisch Oldendorf,52.1667,9.25
726,Werdohl,51.2563,7.7562
727,Wörth am Rhein,49.0517,8.2603
728,Bad Segeberg,53.9356,10.3089
729,Parchim,53.4167,11.8333
730,Bexbach,49.3494,7.2594
731,Heidenau,50.9833,13.8667
732,Freilassing,47.8333,12.9667
733,Freudenberg,50.8997,7.8667
734,Sinzig,50.5453,7.2519
735,Kelsterbach,50.0688,8.5301
736,Nauen,52.6,12.8831
737,Ginsheim-Gustavsburg,49.9646,8.3464
738,Illertissen,48.2167,10.0833
739,Frankenberg,51.0589,8.7967
740,Buchen in Odenwald,49.5217,9.3233
741,Schwarzenbek,53.5042,10.4792
742,Bad Säckingen,47.5533,7.9472
743,Oerlinghausen,51.9667,8.6667
744,Saulgau,48.0175,9.5003
745,Bendorf,50.4297,7.5703
746,Bad Münder am Deister,52.1992,9.4653
747,Wendlingen am Neckar,48.6747,9.3817
748,Bad Langensalza,51.1081,10.6467
749,Raunheim,50.0097,8.45
750,Thale,51.7511,11.0428
751,Marktredwitz,50,12.0667
752,Remagen,50.5786,7.2306
753,Bobingen,48.2667,10.8167
754,Trossingen,48.0756,8.6361
755,Sulzbach,49.3,7.0667
756,Sigmaringen,48.0867,9.2164
757,Nidda,50.4128,9.0092
